detections,calls,ci
25.9,7329,7.685224733213726
25.95,7339,7.725825509290253
26.0,7340,7.761204030303545
26.05,7342,7.790198700931831
26.1,7346,7.784556454930492
26.15,7373,7.8280778100374055
26.2,7376,7.822340110222771
26.25,7380,7.8324932811972445
26.3,7393,7.862141235058041
26.35,7402,7.873340980803512
26.4,7405,7.868612787524875
26.45,7414,7.863820687172362
26.5,7424,7.907695239448723
26.55,7432,7.918587992817911
26.6,7434,7.905144350358189
26.65,7444,7.935307568078253
26.7,7453,7.933885353343593
26.75,7455,7.945709219446681
26.8,7456,7.961075103275937
26.85,7469,7.9955929236048515
26.9,7481,7.991537974632918
26.95,7483,8.003036661168057
27.0,7484,8.046748908720838
27.05,7495,8.077096743261157
27.1,7508,8.072844802174757
27.15,7526,8.072101225827138
27.2,7532,8.052237254328762
27.25,7533,8.087078520702022
27.35,7534,8.11482015820437
27.4,7538,8.158639788592215
27.45,7547,8.189276634721773
27.5,7552,8.185786950562541
27.55,7561,8.172841598856545
27.6,7575,8.166875730657349
27.65,7577,8.17848018888595
27.7,7586,8.191182136907956
27.75,7589,8.23535348360955
27.8,7598,8.266461201747697
27.85,7606,8.263759568138465
27.9,7609,8.259836269563701
27.95,7616,8.294152868135479
28.0,7619,8.276214593641225
28.05,7625,8.29183669641413
28.1,7626,8.2911706772928
28.15,7632,8.278854159846036
28.2,7635,8.258324575844668
28.3,7637,8.28329021585022
28.35,7640,8.327434310758628
28.4,7649,8.358658935499163
28.45,7657,8.356446840613538
28.5,7667,8.3908833861519
28.55,7683,8.390854771714261
28.6,7688,8.404492798497717
28.65,7691,8.41691072781457
28.7,7692,8.461095484628451
28.8,7701,8.48093608040999
28.85,7708,8.47943548828576
28.9,7709,8.475612025098837
28.95,7712,8.490980379202393
29.0,7718,8.525436763005164
29.05,7736,8.519210515065348
29.1,7739,8.519689618759594
29.15,7743,8.563960894352563
29.2,7748,8.57665184089922
29.25,7752,8.608255514330414
29.3,7763,8.62411136291734
29.35,7769,8.658758929546426
29.4,7775,8.692108328823334
29.45,7780,8.688875865150795
29.5,7794,8.733004294055968
29.55,7799,8.746163719025617
29.6,7802,8.747179385379036
29.65,7804,8.778825559264746
29.7,7819,8.795029096029188
29.75,7820,8.829658600421649
29.8,7845,8.873844533233608
29.85,7848,8.868079510243467
29.9,7854,8.869839186817313
30.0,7856,8.882931047801732
30.05,7857,8.914741712467052
30.1,7870,8.931343863047712
30.15,7873,8.966089571267956
30.2,7896,9.010245989982735
30.25,7908,9.04245845995435
30.3,7919,9.044821324935059
30.35,7921,9.061980037497321
30.4,7932,9.097018588526682
30.45,7948,9.141330526788755
30.5,7950,9.1738678865569
30.55,7952,9.168605771871752
30.6,7959,9.200942299569105
30.65,7973,9.218539699974176
30.7,7975,9.221482353721663
30.75,7986,9.256591543327382
30.8,7999,9.300814415953047
30.85,8016,9.333464640743006
30.95,8026,9.355253700461576
31.0,8037,9.390629797835713
31.05,8047,9.38600084167906
31.1,8050,9.430329750332168
31.2,8079,9.481822862720016
31.25,8088,9.517485329644591
31.3,8101,9.562008199118008
31.35,8131,9.573225694613075
31.4,8133,9.592392986111442
31.45,8134,9.625451043977108
31.5,8142,9.661328894101473
31.55,8152,9.705934050878358
31.6,8153,9.686049514637016
31.65,8189,9.705736149308821
31.7,8193,9.742107000028277
31.75,8203,9.787129047887332
31.8,8218,9.772128365919064
31.85,8240,9.792426573633321
31.9,8244,9.8292583240039
31.95,8291,9.850316329945956
32.0,8295,9.88780663241348
32.05,8301,9.898945994397586
32.1,8345,9.884795152151609
32.15,8346,9.92297788972645
32.2,8359,9.931999033427259
32.25,8430,9.91290709126238
32.3,8450,9.899552353515787
32.35,8465,9.911356829415435
32.4,8519,9.894991622027781
32.45,8534,9.882438757715628
32.5,8540,9.895088680754709
32.55,8543,9.876606087113123
32.6,8592,9.890137471238708
32.65,8621,9.886131002571227
32.7,8645,9.900522450860864
32.75,8655,9.88282748002817
32.8,8671,9.914578195768085
32.85,8680,9.895840853611178
32.9,8694,9.879935991695492
32.95,8695,9.876606087113123
33.0,8723,9.848878108698472
33.05,8751,9.863956802419604
33.1,8754,9.896447402982545
33.15,8771,9.924913410201624
33.2,8774,9.922324566350367
33.25,8802,9.938064952494525
33.3,8812,9.946975862039677
33.35,8815,9.97991794555446
33.4,8832,10.008866229498722
33.45,8838,10.007018926733375
33.5,8850,9.991675535164259
33.55,8859,10.007978607091443
33.6,8864,10.002147129491748
33.65,8873,10.035578020223848
33.7,8893,10.065034167850598
33.75,8912,10.063865211736493
33.8,8914,10.08076608199992
33.85,8934,10.123238720883746
33.9,8935,10.102939730593269
33.95,8937,10.112037766938966
34.0,8941,10.145721857019343
34.05,8945,10.175472657326535
34.1,8965,10.174929935876708
34.15,8985,10.217669117758707
34.2,8989,10.23487903201596
34.25,8996,10.265119921364775
